"Supplied Name","guid","scientificName","family","kingdom","vernacular name","family","TSC Status","TSC Status Description","taxonRemarks","Reason","category","generalisation"
"Pterostylis foliata","NZOR-4-64757","Pterostylis foliata","Orchidaceae",,,,"V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Polytelis swainsonii","urn:lsid:biodiversity.org.au:afd.taxon:51dc6bc2-9165-4fc3-a374-1010ac3037d0","Polytelis swainsonii","Psittacidae",,,"Psittacidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Pterostylis despectans (Nicholls)","http://id.biodiversity.org.au/node/apni/2901078","Pterostylis despectans","Orchidaceae",,,"Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Prostanthera palustris B.J. Conn ","http://id.biodiversity.org.au/node/apni/2918112","Prostanthera palustris","Lamiaceae",,"Swamp Mint-bush","Lamiaceae","V","Vulnerable",,"Risk of disturbance","3","1km"
"Eucalyptus dissita K. D. Hill ","http://id.biodiversity.org.au/node/apni/2890966","Eucalyptus moorei subsp. moorei","Myrtaceae",,"Gibraltar Mallee","Myrtaceae","V","Vulnerable",,"Risk of disturbance","3","1km"
"Pterostylis metcalfei D. L. Jones ","http://id.biodiversity.org.au/name/apni/137817","Pterostylis metcalfei",,,"Metcalfe's Greenhood","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Oberonia titania Lindl.","http://id.biodiversity.org.au/name/apni/84716","Oberonia titania",,,"Red-flowered King of the Fairies","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Diuris arenaria D.L. Jones","http://id.biodiversity.org.au/name/apni/135940","Diuris arenaria",,,"Sand Doubletail","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Lathamus discolor","urn:lsid:biodiversity.org.au:afd.taxon:3f12e573-a7b7-45e7-a6e4-aeae9bc3a9ed","Lathamus discolor","Psittacidae",,,"Psittacidae","E1","Endangered",,"Risk of egg collection and nest disturbance","3","1km"
"Psilotum complanatum Sw. ","http://id.biodiversity.org.au/node/apni/2914286","Psilotum complanatum","Psilotaceae",,"Flat Fork Fern","Psilotaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Caladenia porphyrea D.L. Jones","http://id.biodiversity.org.au/name/apni/162940","Caladenia porphyrea",,,,"Orchidaceae",,,,"Risk of disturbance and collection","2","10km"
"Gentiana bredboensis L.G. Adams","http://id.biodiversity.org.au/node/apni/2900971","Gentiana bredboensis","Gentianaceae",,"Bredbo Gentian","Gentianaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Tyto tenebricosa","urn:lsid:biodiversity.org.au:afd.taxon:69c8164e-e5ff-4d44-adef-6a8c50cd14cc","Tyto (Megastrix) tenebricosa","Tytonidae",,,"Tytonidae","V","Vulnerable",,"Risk of egg collection and nest disturbance","3","1km"
"Persoonia pauciflora P. H. Weston ","http://id.biodiversity.org.au/node/apni/2899054","Persoonia pauciflora","Proteaceae",,"North Rothbury Persoonia","Proteaceae","E4A","Critically Endangered",,"Risk of disturbance","3","1km"
"Grammitis stenophylla B.S. Parris ","http://id.biodiversity.org.au/node/apni/2894545","Grammitis stenophylla","Polypodiaceae",,"Narrow-leaf Finger Fern","Grammitaceae","E1","Endangered",,"Risk of disturbance","3","1km"
"Philoria pughi","urn:lsid:biodiversity.org.au:afd.taxon:1f800926-6b4c-4e7c-802d-65cc9edfb368","Philoria pughi","Limnodynastidae",,,"Myobatrachidae","E1","Endangered",,"Risk of collection and disease","2","10km"
"Pterostylis saxicola D. L. Jones & M. A. Clem. ","http://id.biodiversity.org.au/node/apni/2900065","Pterostylis saxicola","Orchidaceae",,"Sydney Plains Greenhood","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Prasophyllum canaliculatum D.L. Jones","http://id.biodiversity.org.au/name/apni/161543","Prasophyllum canaliculatum",,,"Summer Leek Orchid","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Caladenia concolor Fitzg. ","http://id.biodiversity.org.au/node/apni/2916278","Caladenia concolor","Orchidaceae",,"Crimson Spider Orchid","Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Diuris sp. (Oaklands, D.L. Jones 5380) ","ALA_Diuris_sp_Oaklands_D_L_Jones_5380","Diuris sp. (Oaklands, D.L. Jones 5380)",,,,"Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Diuris bracteata Fitzg.","http://id.biodiversity.org.au/name/apni/78804","Diuris bracteata",,,,"Orchidaceae","E1","Endangered",,"Risk of disturbance and collection","2","10km"
"Zieria adenophora Blakely","http://id.biodiversity.org.au/node/apni/2905804","Zieria adenophora","Rutaceae",,,"Rutaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Sarcochilus fitzgeraldii F. Muell. ","http://id.biodiversity.org.au/node/apni/2901615","Sarcochilus fitzgeraldii","Orchidaceae",,"Ravine Orchid","Orchidaceae","V","Vulnerable",,"Risk of disturbance and collection","2","10km"
"Pterostylis oreophila Clemesha","http://id.biodiversity.org.au/name/apni/75185","Pterostylis oreophila",,,"Blue-tongued Greenhood","Orchidaceae","E4A","Critically Endangered",,"Risk of disturbance and collection","2","10km"
"Diploglottis campbellii Cheel ","http://id.biodiversity.org.au/node/apni/2906814","Diploglottis campbellii","Sapindaceae",,"Small-leaved Tamarind","Sapindaceae","E1","Endangered",,"Risk of disturbance","2","10km"
"Zieria parrisiae J.D.Briggs & J.A.Armstr.","http://id.biodiversity.org.au/node/apni/2919089","Zieria parrisiae","Rutaceae",,"Parris' Zieria","Rutaceae","E4A","Critically Endangered",,"Risk of illegal collection","2","10km"
"Grevillea mollis P. Olde & Molyneux ","http://id.biodiversity.org.au/node/apni/2890447","Grevillea mollis","Proteaceae",,"Soft Grevillea","Proteaceae","E1","Endangered",,"Risk of disturbance","3","1km"
