"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Denature level","generalisation","Criteria"
"Pezoporus occidentalis","urn:lsid:biodiversity.org.au:afd.taxon:ea536e50-03cc-44d1-9f99-b11fd0c3a345","Pezoporus occidentalis","Psittacidae",,"Night Parrot","Round coordinate value to 0.5 decimal degrees (approximately 50 km2)","100km",
"Macroderma gigas","urn:lsid:biodiversity.org.au:afd.taxon:cfde8627-a67c-451d-8835-ac65f6d16ac6","Macroderma gigas","Megadermatidae",,"Ghost Bat","Round coordinate value to 0.05 decimal degrees (approximately 5 km2)","10km","cave roost related records"
"Bellatorias obiri","urn:lsid:biodiversity.org.au:afd.taxon:a5e7b4c9-29e7-4dc9-8ba9-0546f61d445c","Bellatorias obiri","Scincidae",,"Arnhemland Egernia","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km",
"Attacus wardi","urn:lsid:biodiversity.org.au:afd.taxon:8a05008e-53e8-4773-855a-43ac29cc6056","Attacus wardi","Saturniidae",,"Atlas Moth","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km",
"Ogyris iphis doddi","urn:lsid:biodiversity.org.au:afd.taxon:1035b8a0-da5d-4111-8fe6-25972992f5e3","Ogyris iphis doddi","Lycaenidae",,"Dodd’s Azure","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km",
"Hipposideros inornata","urn:lsid:biodiversity.org.au:afd.taxon:c89e9095-0dd4-4f19-ac70-014426d7c238","Hipposideros inornatus","Hipposideridae",,"Arnhem Leaf-nosed Bat","Round coordinate value to 0.05 decimal degrees (approximately 5 km2)","10km","cave roost related records"
"Polytelis alexandrae","urn:lsid:biodiversity.org.au:afd.taxon:1ad0bddc-f761-45fb-ba4b-3a69d3e4bce9","Polytelis alexandrae","Psittacidae",,"Princess Parrot","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km","nesting records"
"Candalides geminus","urn:lsid:biodiversity.org.au:afd.taxon:1ab2331c-6d8c-4dbb-8fc4-2c19a62a6e81","Candalides geminus","Lycaenidae",,"Twin Dusky-blue","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km","eastern sub-population"
"Hipposideros stenotis","urn:lsid:biodiversity.org.au:afd.taxon:ca7e2a73-6eb8-4813-90b4-5b466bb0254d","Hipposideros stenotis","Hipposideridae",,"Northern Leaf-nosed bat","Round coordinate value to 0.05 decimal degrees (approximately 5 km2)","10km","cave roost related records"
"Falco hypoleucos","urn:lsid:biodiversity.org.au:afd.taxon:5c4c5947-83a6-4a42-b861-8c408cfed4e7","Falco (Hierofalco) hypoleucos","Falconidae",,"Grey Falcon","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km","nesting records"
