"Supplied Name","guid","scientificName","family","kingdom","family","genus","order","taxonRank","class"
"Cynoglossum nobile Hook.f.","NZOR-4-32928","Myosotidium hortensia","Boraginaceae",,"Boraginaceae","Myosotidium",,"species","Magnoliopsida"
"Luzula celata Edgar","NZOR-4-121374","Luzula celata","Juncaceae",,"Juncaceae","Luzula","Poales","species","Magnoliopsida"
"Todea africana Willd. ex Bernh.","http://id.biodiversity.org.au/node/apni/2916843","Todea barbara","Osmundaceae",,"Osmundaceae","Todea","Osmundales","species","Polypodiopsida"
"Senecio kirkii Hook.f. ex Kirk var. kirkii","NZOR-4-94123","Brachyglottis kirkii (Kirk) C.J.Webb var. kirkii (Hook.f. ex Kirk)","Asteraceae",,"Compositae","Brachyglottis","Asterales","variety","Magnoliopsida"
"Aira antarctica G.Forst.","http://id.biodiversity.org.au/node/apni/2918558","Trisetum spicatum subsp. australiense","Poaceae",,"Gramineae","Trisetum","Poales","species","Magnoliopsida"
"Hibiscus richardsonii Sweet ex Lindl.","http://id.biodiversity.org.au/node/apni/2888546","Hibiscus richardsonii","Malvaceae",,"Malvaceae","Hibiscus","Malvales","species","Magnoliopsida"
"Gymnogramma leptophylla (L.) Desv.","http://id.biodiversity.org.au/node/apni/2911389","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Carmichaelia torulosa (Kirk) Heenan","NZOR-4-57188","Carmichaelia torulosa","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Myosurus minimus subsp. novae-zelandiae (W.R.B.Oliv.) Garn.-Jones","NZOR-4-39543","Myosurus minimus subsp. novae-zelandiae","Ranunculaceae",,"Ranunculaceae","Myosurus","Ranunculales","subspecies","Magnoliopsida"
"Devauxia strigosa R.Br.","http://id.biodiversity.org.au/node/apni/2894250","Centrolepis strigosa","Centrolepidaceae",,"Centrolepidaceae","Centrolepis","Poales","species","Magnoliopsida"
"Pimelea mimosa C.J.Burrows","NZOR-4-67943","Pimelea mimosa","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Scutellaria novae-zelandiae Hook.f.","NZOR-4-52672","Scutellaria novae-zelandiae","Lamiaceae",,"Labiatae","Scutellaria","Lamiales","species","Magnoliopsida"
"Colensoa physaloides (A.Cunn.) Hook.f.","NZOR-4-39560","Colensoa physaloides","Campanulaceae",,"Campanulaceae","Colensoa","Asterales","species","Magnoliopsida"
"Angelica rosaefolia Hook.","NZOR-4-10257","Scandia rosifolia","Umbelliferae",,"Umbelliferae","Scandia","Apiales","species","Magnoliopsida"
"Lepidium tenuicaule var. minor Cheeseman","NZOR-4-64527","Lepidium tenuicaule","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Uncinia strictissima (Kük.) Petrie","NZOR-4-78454","Carex strictissima","Cyperaceae",,"Cyperaceae","Uncinia","Poales","species","Magnoliopsida"
"Osmunda leptophylla (L.) Savigny in Lam.","http://id.biodiversity.org.au/node/apni/2911389","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Ourisia modesta Diels","NZOR-4-112658","Ourisia modesta","Plantaginaceae",,"Plantaginaceae","Ourisia","Lamiales","species","Magnoliopsida"
"Ranunculus recens Kirk var. recens","NZOR-4-66892","Ranunculus recens","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","variety","Magnoliopsida"
"Leucogenes tarahaoa Molloy","NZOR-4-10897","Leucogenes tarahaoa","Asteraceae",,"Compositae","Leucogenes","Asterales","species","Magnoliopsida"
"Coxella dieffenbachii (F.Muell.) Cheeseman & Hemsl.","NZOR-4-102313","Aciphylla dieffenbachii","Apiaceae",,"Umbelliferae","Aciphylla","Apiales","species","Magnoliopsida"
"Dichelachne procera Steud.","NZOR-4-33397","Anemanthele lessoniana","Poaceae",,"Gramineae","Anemanthele","Poales","species","Magnoliopsida"
"Gnaphalium collinum var. obscurum Kirk","NZOR-4-45304","Euchiton ensifer","Asteraceae",,"Compositae","Euchiton","Asterales","variety","Magnoliopsida"
"Senecio kermadecensis Belcher","NZOR-4-111844","Senecio kermadecensis","Asteraceae",,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Lepidium panniforme de Lange & Heenan","NZOR-4-106346","Lepidium panniforme","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
"Poa triodioides (Trin.) Zotov","http://id.biodiversity.org.au/node/apni/2908237","Poa billardierei","Poaceae",,"Gramineae","Poa","Poales","species","Magnoliopsida"
"Kunzea ericoides var. linearis (Kirk) W.Harris","NZOR-4-27227","Kunzea ericoides var. linearis","Myrtaceae",,"Myrtaceae","Kunzea","Myrtales","variety","Magnoliopsida"
"Ischnocarpus exilis Heenan","NZOR-4-62964","Pachycladon exile",,,"Cruciferae","Pachycladon","Brassicales","species","Magnoliopsida"
"Myosurus novae-zelandiae W.R.B.Oliv.","NZOR-4-39543","Myosurus minimus subsp. novae-zelandiae","Ranunculaceae",,"Ranunculaceae","Myosurus","Ranunculales","species","Magnoliopsida"
"Scirpus spiralis (A.Rich.) Druce","NZOR-4-100283","Ficinia spiralis","Cyperaceae",,"Cyperaceae","Ficinia","Poales","species","Magnoliopsida"
"Hebe pareora Garn.-Jones & Molloy","NZOR-4-37879","Veronica pareora","Plantaginaceae",,"Plantaginaceae","Hebe","Lamiales","species","Magnoliopsida"
"Carmichaelia juncea Hook.f. var. juncea","NZOR-4-15759","Carmichaelia juncea","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","variety","Magnoliopsida"
