"Supplied Name","guid","scientificName","family","kingdom","scientificNameAuthorship","taxonId","vernacular name"
"Caladenia sp. (Stanthorpe R.Crane 1448)","ALA_Caladenia_sp_Stanthorpe_R_Crane_1448","Caladenia sp. (Stanthorpe R.Crane 1448)",,,,"29611",
"Oberonia flavescens","http://id.biodiversity.org.au/name/apni/205301","Oberonia flavescens",,,"D.L.Jones & M.A.Clem.","35334",
"Petalura ingentissima","urn:lsid:biodiversity.org.au:afd.taxon:cfeda8ec-73fa-4bff-8822-7b097a0a3a82","Petalura ingentissima","Petaluridae",,"Tillyard, 1908","35260","giant petaltail"
"Livistona concinna","http://id.biodiversity.org.au/node/apni/2891205","Livistona concinna","Arecaceae",,"Dowe & Barfod","26863",
"Bromheadia pulchra","http://id.biodiversity.org.au/name/apni/67633","Bromheadia pulchra",,,"Schltr.","5601",
"Dockrillia rigida","http://id.biodiversity.org.au/name/apni/165815","Dockrillia rigida",,,"(R.Br.) Rauschert","5801",
"Phaius bernaysii","http://id.biodiversity.org.au/node/apni/2918618","Phaius bernaysii","Orchidaceae",,"Rowland ex Rchb.f.","12723","yellow swamp orchid"
"Pterostylis grandiflora","http://id.biodiversity.org.au/name/apni/74758","Pterostylis grandiflora",,,"R.Br.","12694",
"Sarcochilus hartmannii","http://id.biodiversity.org.au/node/apni/2898379","Sarcochilus hartmannii","Orchidaceae",,"F.Muell.","12710",
"Bryobium eriaeoides","http://id.biodiversity.org.au/name/apni/176951","Bryobium eriaeoides",,,"(F.M.Bailey) M.A.Clem. & D.L.Jones","35688",
"Asplenium normale","http://id.biodiversity.org.au/node/apni/2908896","Asplenium normale","Aspleniaceae",,"D.Don","12111",
"Bulbophyllum gracillimum","http://id.biodiversity.org.au/node/apni/2917834","Bulbophyllum gracillimum","Orchidaceae",,"(Rolfe) Rolfe","12448","graceful orchid"
"Corybas undulatus","http://id.biodiversity.org.au/name/apni/240707","Corybas undulatus",,,"(R.Cunn.) Rupp","13327","tailed helmet orchid"
"Macrozamia occidua","http://id.biodiversity.org.au/node/apni/2901278","Macrozamia occidua","Zamiaceae",,"D.L.Jones & P.I.Forst.","6483",
"Genoplesium rufum","http://id.biodiversity.org.au/name/apni/66187","Genoplesium rufum",,,"(R.Br.) D.L.Jones & M.A.Clem.","13103","red midge orchid"
"Apostasia","http://id.biodiversity.org.au/node/apni/2904171","Apostasia","Orchidaceae",,,"11219",
"Anthochaera phrygia","urn:lsid:biodiversity.org.au:afd.taxon:af9380ee-2f65-4213-bb6f-ea6baf92ad3e","Anthochaera (Xanthomyza) phrygia","Meliphagidae",,"(Shaw, 1794)","1478","regent honeyeater"
"Diuris luteola","http://id.biodiversity.org.au/name/apni/117440","Diuris luteola",,,"D.L.Jones & B.Gray","7945","northern yellow donkeys tails"
"Crepidium",,,,,,"20511",
"Bryobium irukandjianum","http://id.biodiversity.org.au/name/apni/176952","Bryobium irukandjianum",,,"(St.Cloud) M.A.Clem. & D.L.Jones","32737",
"Corunastylis tecta","http://id.biodiversity.org.au/node/apni/2908787","Genoplesium tectum","Orchidaceae",,"(D.L.Jones) D.L.Jones & M.A.Clem.","27546",
"Cyrtostylis","http://id.biodiversity.org.au/node/apni/2911772","Cyrtostylis","Orchidaceae",,,"20548",
"Calochilus robertsonii","NZOR-4-46548","Calochilus robertsonii","Orchidaceae",,"Benth.","15832","purplish beard orchid"
"Pterostylis rufa","http://id.biodiversity.org.au/name/apni/75574","Pterostylis rufa",,,"R.Br.","16349",
"Dockrillia dolichophylla","http://id.biodiversity.org.au/name/apni/147283","Dockrillia dolichophylla",,,"(D.L.Jones & M.A.Clem.) M.A.Clem. & D.L.Jones","5805",
"Corunastylis pedersonii","http://id.biodiversity.org.au/name/apni/6273462","Corunastylis pedersonii",,,"(D.L.Jones) D.L.Jones & M.A.Clem.","27540",
"Cyathea celebica","http://id.biodiversity.org.au/node/apni/2913984","Cyathea celebica","Cyatheaceae",,"Blume","14650",
"Phyllurus isis","urn:lsid:biodiversity.org.au:afd.taxon:60956d1d-0c60-4048-967c-f02e35c84265","Phyllurus isis","Carphodactylidae",,"Couper, Covaevich & Moritz, 1993","380","Mount Jukes broad-tailed gecko"
"Dendrobium discolor x D.nindii","ALA_Dendrobium_discolor_x_D_nindii","Dendrobium discolor x D.nindii",,,"Lindl.","35005",
"Bulbophyllum weinthalii subsp. weinthalii","http://id.biodiversity.org.au/name/apni/177009","Bulbophyllum weinthalii subsp. weinthalii",,,"R.S.Rogers","26724",
"Stipiturus malachurus","urn:lsid:biodiversity.org.au:afd.taxon:1f13c782-e388-48b4-916c-d1aa2c96af58","Stipiturus malachurus","Maluridae",,"(Shaw, 1798)","1549","southern emu-wren"
"Acriopsis emarginata","http://id.biodiversity.org.au/name/apni/206419","Acriopsis emarginata",,,"D.L.Jones & M.A.Clem.","31909","pale chandelier orchid"
"Caladenia fuscata","http://id.biodiversity.org.au/name/apni/91461","Caladenia fuscata",,,"(Rchb.f.) M.A.Clem. & D.L.Jones","8247",
"Pterostylis praetermissa","http://id.biodiversity.org.au/name/apni/75322","Pterostylis praetermissa",,,"M.A.Clem. & D.L.Jones","7912",
"Pterostylis sp. (Mt Mee M.T.Mathieson+ MTM725)","ALA_Pterostylis_sp_Mt_Mee_M_T_Mathieson_MTM725","Pterostylis sp. (Mt Mee M.T.Mathieson+ MTM725)",,,,"34071",
"Cestichis fleckeri","http://id.biodiversity.org.au/name/apni/196164","Cestichis fleckeri",,,"(Nicholls) M.A.Clem. & D.L.Jones","36439",
"Habenaria chlorosepala","http://id.biodiversity.org.au/name/apni/178885","Habenaria chlorosepala",,,"D.L.Jones","21844",
"Dryopteris wattsii","http://id.biodiversity.org.au/node/apni/9032446","Dryopteris wattsii","Dryopteridaceae",,"M.McKeown, Sundue & Barrington","34742",
"Bulbophyllum shepherdii","http://id.biodiversity.org.au/name/apni/69726","Bulbophyllum shepherdii",,,"(F.Muell.) F.Muell.","8228","wheat-leaved orchid"
"Cophixalus concinnus","urn:lsid:biodiversity.org.au:afd.taxon:abfe518d-2c58-4c08-9c5b-172fa60e4aa5","Cophixalus concinnus","Microhylidae",,"Tyler, 1979","29399","beautiful nurseryfrog"
"Micropera fasciculata","http://id.biodiversity.org.au/name/apni/73204","Micropera fasciculata",,,"(Lindl.) Garay","13287",
"Neochmia phaeton evangelinae","urn:lsid:biodiversity.org.au:afd.taxon:5bf94283-1341-418d-9b03-d5640274f9a6","Neochmia (Neochmia) phaeton evangelinae","Estrildidae",,"(Hombron & Jacquinot, 1841)","1370","crimson finch (white-bellied subspecies)"
"Cymbidium",,,,,,"13279",
"Dockrillia schoenina","http://id.biodiversity.org.au/name/apni/147294","Dockrillia schoenina",,,"(Lindl.) M.A.Clem. & D.L.Jones","5803","pencil orchid"
"Liparis swenssonii","http://id.biodiversity.org.au/name/apni/66046","Liparis swenssonii",,,"F.M.Bailey","12774","rock orchid"
"Bowenia spectabilis","http://id.biodiversity.org.au/node/apni/2912787","Bowenia spectabilis","Zamiaceae",,"Hook. ex Hook.f.","17846",
"Selenocosmia strenua","urn:lsid:biodiversity.org.au:afd.taxon:78031adf-0924-4bec-8747-ce637989f761","Selenocosmia strenua","Theraphosidae",,"(Thorell, 1881)","29182",
"Macrozamia longispina","http://id.biodiversity.org.au/node/apni/2891775","Macrozamia longispina","Zamiaceae",,"P.I.Forst. & D.L.Jones","21873",
"Chiloglottis formicifera","NZOR-4-70253","Chiloglottis formicifera","Orchidaceae",,"Fitzg.","13324","ant orchid"
"Phlegmariurus marsupiiformis","http://id.biodiversity.org.au/node/apni/2917092","Phlegmariurus marsupiiformis","Lycopodiaceae",,"(D.L.Jones & B.Gray) A.R.Field & Bostock","34770",
"Cheirostylis notialis","http://id.biodiversity.org.au/name/apni/139250","Cheirostylis notialis",,,"D.L.Jones","18373",
"Dockrillia cucumerina","http://id.biodiversity.org.au/name/apni/181525","Dockrillia cucumerina",,,"(Macleay ex Lindl.) Brieger","18386",
"Bulbophyllum wilkianum","http://id.biodiversity.org.au/name/apni/69810","Bulbophyllum wilkianum",,,"T.E.Hunt","8205",
"Litoria andiirrmalin","urn:lsid:biodiversity.org.au:afd.taxon:c1481ba8-e1d9-42ce-ad92-e17f9231f210","Litoria andiirrmalin","Hylidae",,"McDonald, 1997","18173","Melville Range treefrog"
"Peristylus chlorandrellus","http://id.biodiversity.org.au/name/apni/189024","Peristylus chlorandrellus",,,"D.L.Jones & M.A.Clem.","30812",
"Plexaure crassiuscula","http://id.biodiversity.org.au/name/apni/189055","Plexaure crassiuscula",,,"(Nicholls) M.A.Clem. & D.L.Jones","30802",
"Gastrodia urceolata","http://id.biodiversity.org.au/name/apni/117459","Gastrodia urceolata",,,"D.L.Jones","7949",
"Bulbophyllum lamingtonense","http://id.biodiversity.org.au/name/apni/166382","Bulbophyllum lamingtonense",,,"D.L.Jones","7844",
"Phlegmariurus tetrastichoides","http://id.biodiversity.org.au/node/apni/7498903","Phlegmariurus tetrastichoides","Lycopodiaceae",,"(A.R.Field & Bostock) A.R.Field & Bostock","34772",
"Eria","http://id.biodiversity.org.au/node/apni/2919187","Eria","Orchidaceae",,,"20689",
"Rhynchophreatia","ALA_Rhynchophreatia","Rhynchophreatia",,,,"21410",
"Flickingeria convexa","http://id.biodiversity.org.au/name/apni/87556","Flickingeria convexa",,,"(Blume) A.D.Hawkes","8550",
"Epthianura crocea crocea","urn:lsid:biodiversity.org.au:afd.taxon:9558469e-fc58-475c-9b53-5cd3c04e1cae","Epthianura (Aurepthianura) crocea crocea","Meliphagidae",,"Castelnau & Ramsay, 1877","22458","yellow chat (gulf)"
"Corunastylis cranei","http://id.biodiversity.org.au/name/apni/169203","Corunastylis cranei",,,"(D.L.Jones) D.L.Jones & M.A.Clem.","27535",
"Pterostylis baptistii x P.nutans","ALA_Pterostylis_baptistii_x_P_nutans","Pterostylis baptistii x P.nutans",,,"Fitzg.","34218",
"Tainia","http://id.biodiversity.org.au/node/apni/2919607","Tainia","Orchidaceae",,,"21587",
"Lepidozamia peroffskyana","http://id.biodiversity.org.au/node/apni/2897542","Lepidozamia peroffskyana","Zamiaceae",,"Regel","12056","shining burrawang"
"Thelymitra ixioides","NZOR-4-39554","Thelymitra ixioides","Orchidaceae",,"Sw.","6207",
"Dryopteris sparsa","http://id.biodiversity.org.au/node/apni/2891150","Dryopteris sparsa","Dryopteridaceae",,"(Buch.-Ham. ex D.Don) Kuntze","12039",
"Hymenophyllum eboracense","http://id.biodiversity.org.au/node/apni/2913294","Hymenophyllum eboracense","Hymenophyllaceae",,"Croxall","13884",
"Corybas aconitiflorus","http://id.biodiversity.org.au/name/apni/171781","Corybas aconitiflorus",,,"Salisb.","14727",
"Trachoma speciosum","http://id.biodiversity.org.au/name/apni/58406","Trachoma speciosum",,,"D.L.Jones, B.Gray, M.A.Clem. & J.J.Wood","8182",
"Sarcochilus parviflorus","http://id.biodiversity.org.au/name/apni/63362","Sarcochilus parviflorus",,,"Lindl.","35904",
"Elseya irwini","urn:lsid:biodiversity.org.au:afd.taxon:6623c977-7350-48ec-9389-289c055d516f","Elseya irwini","Chelidae",,"Cann, 1997","18454","Irwin's turtle"
"Cymbidium suave","http://id.biodiversity.org.au/name/apni/93482","Cymbidium suave",,,"R.Br.","17506",
"Cryptostylis hunteriana","http://id.biodiversity.org.au/node/apni/2889169","Cryptostylis hunteriana","Orchidaceae",,"Nicholls","22074",
"Genoplesium sp. (Raby Bay J.Elsol AQ462423)","ALA_Genoplesium_sp_Raby_Bay_J_Elsol_AQ462423","Genoplesium sp. (Raby Bay J.Elsol AQ462423)",,,,"6685",
"Prasophyllum elatum","http://id.biodiversity.org.au/name/apni/87513","Prasophyllum elatum",,,"R.Br.","16367","tall leek orchid"
