"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Polytelis anthopeplus monarchoides","urn:lsid:biodiversity.org.au:afd.taxon:5ba0d9f3-fa07-4577-8ada-a7e3a51b2792","Polytelis anthopeplus monarchoides","Psittacidae",,"Parrots","B","C04381","Regent Parrot (eastern subspecies)","All known nest hollows and artificial nest boxes at known breeding sites.","y","These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).",
"Pterostylis setifera","http://id.biodiversity.org.au/name/apni/75779","Pterostylis setifera",,,"Orchids","P","Y04412","Bristly Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Adiantum capillus-veneris","http://id.biodiversity.org.au/node/apni/2887223","Adiantum capillus-veneris","Pteridaceae",,"Ferns & Allies","P","A00036","Dainty Maiden-hair","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Olearia arckaringensis","http://id.biodiversity.org.au/node/apni/2901236","Olearia arckaringensis","Asteraceae",,,"P","E05926","Arckaringa Daisy","Specific locations/areas","y","Olearia arckaringensis is an attractive plant that could potentially be targeted for seed or cuttings by illegal collectors for the garden trade. Its distribution is restricted to <10 kms2 and the total population size is limited to a few hundred plants. Currently the species is not listed under the NPW Act because it was only described formally in 2008, following the last NPW Schedule update (in Feb 2008). For similar reasons the species is yet to be nominated under the EPBC Act. No other jurisdictions have data restrictions on this species, because it is endemic to SA.","y"
"Wurmbea dioica ssp. lacunaria","ALA_Wurmbea_dioica_ssp_lacunaria","Wurmbea dioica ssp. lacunaria",,,"Aquatics","P","G05475","Lagoon Nancy","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Cryptostylis subulata","NZOR-4-92586","Cryptostylis subulata","Orchidaceae",,"Orchids","P","Y00796","Moose Orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pycnosorus globosus","http://id.biodiversity.org.au/node/apni/2915561","Pycnosorus globosus","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","W03051","Drumsticks","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pterostylis tasmanica","NZOR-4-74609","Pterostylis tasmanica","Orchidaceae",,"Orchids","P","C05465","Southern Bearded Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Euastacus bispinosa","urn:lsid:biodiversity.org.au:afd.taxon:1cb62b87-8aea-401b-9af1-7a730c6c092a","Euastacus bispinosus","Parastacidae",,,"Crustacean","n/a"," Glenelg Spiny Freshwater Crayfish (SA: South-east Crayfish) (listed as South-east Crayfish under SA FM Act)","All known location records","y","The Glenelg Spiny Freshwater Crayfish is listed as Endangered under the EPBC Act and Protected in SA under the FM Act. The natural distribution of the Glenelg spiny freshwater crayfish is restricted to the Glenelg River system in south-western Victoria and five spring-fed coastal streams in south-eastern South Australia including the Ewen Ponds system. Fishing has been a major historic threat to the Glenelg spiny freshwater crayfish. Life history characteristics of the species, particularly slow growth and significant age before sexual maturity, make it difficult for the species to withstand even a low level of removal by fishermen.",
"Rhodanthe anthemoides","http://id.biodiversity.org.au/node/apni/2897086","Rhodanthe anthemoides","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","W03167","Chamomile Everlasting","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
