"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Grouping"
"Caladenia pumila","http://id.biodiversity.org.au/node/apni/2920691","Caladenia pumila","Orchidaceae",,"Dwarf Spider-orchid","Flora"
"Polytelis anthopeplus monarchoides","urn:lsid:biodiversity.org.au:afd.taxon:5ba0d9f3-fa07-4577-8ada-a7e3a51b2792","Polytelis anthopeplus monarchoides","Psittacidae",,"Regent Parrot","Terrestrial Fauna (nesting and/or breeding records only)"
"Gariwerdeus turretensis","urn:lsid:biodiversity.org.au:afd.taxon:2062746c-4bf4-4b4e-9fec-f42128d17f15","Gariwerdeus turretensis","Phreatoicidae",,"Phreatoicid Isopod","Aquatic Fauna"
"Westriplectes pedderensis","urn:lsid:biodiversity.org.au:afd.taxon:f2a2efd3-10cc-4fc4-907b-a9fadfb65892","Westriplectes pedderensis","Leptoceridae",,"Caddisfly","Aquatic Fauna"
"Thaumatoperla flaveola","urn:lsid:biodiversity.org.au:afd.taxon:2da68879-43bc-40c9-820a-4e49fdbe9433","Thaumatoperla flaveola","Eustheniidae",,"Alpine Stonefly","Aquatic Fauna"
"Engaeus sternalis","urn:lsid:biodiversity.org.au:afd.taxon:be281d0d-5819-4370-a14a-25f2df1c2ea6","Engaeus sternalis","Parastacidae",,"Warragul Burrowing Crayfish","Aquatic Fauna"
"Riekoperla darlingtoni","urn:lsid:biodiversity.org.au:afd.taxon:f51c62dd-ddaa-4613-b4b5-35cfba3a7ab1","Riekoperla darlingtoni","Gripopterygidae",,"Mt Donna Buang Stonefly","Aquatic Fauna"
"Hemiphlebia mirabilis","urn:lsid:biodiversity.org.au:afd.taxon:ba6a0ffa-2287-40c3-bd0f-e4f7caeb469e","Hemiphlebia mirabilis","Hemiphlebiidae",,"Hemiphlebia Damselfly","Aquatic Fauna"
"Phreatoicopsis terricola","urn:lsid:biodiversity.org.au:afd.taxon:66dc4cf6-fd72-4020-bea8-4ac97ea31faf","Phreatoicopsis terricola","Amphisopodidae",,"Phreatoicid Isopod","Aquatic Fauna"
"Thaumatoperla alpina","urn:lsid:biodiversity.org.au:afd.taxon:41661a6d-9550-4583-9d6f-85957f9c6e7f","Thaumatoperla alpina","Eustheniidae",,"Stonefly","Aquatic Fauna"
"Michelea microphylla","urn:lsid:biodiversity.org.au:afd.taxon:0834874a-b89d-46c1-a00b-66e4bba29ccb","Michelea microphylla","Micheleidae",,"Ghost Shrimp","Aquatic Fauna"
"Colubotelson joyneri","urn:lsid:biodiversity.org.au:afd.taxon:21001944-c73d-4237-9787-f5d7db8accd2","Colubotelson joyneri","Phreatoicidae",,"Phreatoicid Isopod","Aquatic Fauna"
"Naiopegia xiphagrostis","urn:lsid:biodiversity.org.au:afd.taxon:67f8f9e6-d752-4a53-a449-d0f25fbb0708","Naiopegia xiphagrostis","Phreatoicidae",,"Phreatoicid Isopod","Aquatic Fauna"
"Engaeus fultoni","urn:lsid:biodiversity.org.au:afd.taxon:23c3300d-cb9c-451d-b5b5-ab6418c299ed","Engaeus fultoni","Parastacidae",,"Otway Burrowing Crayfish","Aquatic Fauna"
"Colubotelson searli","urn:lsid:biodiversity.org.au:afd.taxon:7af3f4fd-0cfa-4a61-9acf-97a0ef0486d6","Colubotelson searlei","Phreatoicidae",,"Phreatoicid Isopod","Aquatic Fauna"
"Calyptorhynchus banksii graptogyne","urn:lsid:biodiversity.org.au:afd.taxon:3d0bdf71-baf3-4c0d-a2d0-c3b95856c980","Calyptorhynchus (Calyptorhynchus) banksii graptogyne","Cacatuidae",,"Red-tailed Black-Cockatoo","Terrestrial Fauna (nesting and/or breeding records only)"
"Engaeus urostrictus","urn:lsid:biodiversity.org.au:afd.taxon:60ba6e3d-5f82-434f-a3af-a312db5605e3","Engaeus urostrictus","Parastacidae",,"Dandenong Burrowing Crayfish","Aquatic Fauna"
"Engaeus australis","urn:lsid:biodiversity.org.au:afd.taxon:7e0b6a97-6549-4714-8ab6-1809f7b3c20a","Engaeus australis","Parastacidae",,"Lilly Pilly Burrowing Crayfish","Aquatic Fauna"
"Gaultheria hispida","http://id.biodiversity.org.au/node/apni/2898978","Gaultheria hispida","Ericaceae",,"Snow-berry","Flora"
"Haliaeetus leucogaster","urn:lsid:biodiversity.org.au:afd.taxon:cdaae4b5-4a09-4986-8f7b-7cfdddbfc723","Haliaeetus (Pontoaetus) leucogaster","Accipitridae",,,"Terrestrial Fauna (nesting and/or breeding records only)"
"Austrogammarus haasei ","urn:lsid:biodiversity.org.au:afd.taxon:2fa52ce6-90ce-4350-ab0b-48b19e4002d8","Austrogammarus haasei","Paramelitidae",,"Sherbrooke Amphipod","Aquatic Fauna"
"Pseudocloeon hypodelum","urn:lsid:biodiversity.org.au:afd.taxon:3fabe575-402f-47ed-b1af-a1c8f2e75428","Pseudocloeon hypodelum","Baetidae",,"Mayfly","Aquatic Fauna"
"Austrogammarus australis","urn:lsid:biodiversity.org.au:afd.taxon:28511b23-d2e4-4fe1-b43b-1a3d8e8b5598","Austrogammarus australis","Paramelitidae",,"Dandenong Freshwater Amphipod","Aquatic Fauna"
"Gramastacus insolitus","urn:lsid:biodiversity.org.au:afd.taxon:665a4c21-5f25-406e-827b-c5502995e081","Gramastacus insolitus","Parastacidae",,"Western Swamp Crayfish","Aquatic Fauna"
"Pterostylis despectans","http://id.biodiversity.org.au/node/apni/2901078","Pterostylis despectans","Orchidaceae",,"Lowly Greenhood","Flora"
"Engaeus strictifrons","urn:lsid:biodiversity.org.au:afd.taxon:c4558a64-219b-441f-8ce7-26eaf93d5447","Engaeus strictifrons","Parastacidae",,"Burrowing Crayfish","Aquatic Fauna"
"Ninox connivens connivens","urn:lsid:biodiversity.org.au:afd.taxon:ca806fc1-4a97-4655-8305-95678c58e838","Ninox (Hieracoglaux) connivens connivens","Strigidae",,"Barking Owl","Terrestrial fauna"
"Thaumatoperla timmsi","urn:lsid:biodiversity.org.au:afd.taxon:7ffb621a-7016-456e-a1eb-a7327333a316","Thaumatoperla timmsi","Eustheniidae",,"Stonefly","Aquatic Fauna"
"Thaumatoperla robusta","urn:lsid:biodiversity.org.au:afd.taxon:96f9db2b-8916-4154-9521-5a9fc26c9db6","Thaumatoperla robusta","Eustheniidae",,"Stonefly","Aquatic Fauna"
"Dinotoperla walkeri","urn:lsid:biodiversity.org.au:afd.taxon:c0dddb66-74bb-4cb5-a4ad-8ab364598f62","Dinotoperla walkeri","Gripopterygidae",,"Stonefly","Aquatic Fauna"
