"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status code","status"
"Eremophila margarethae subsp. straight sepals (G. Cockerton & B. McLean LCH 31310)","ALA_Eremophila_margarethae_subsp_straight_sepals_G_Cockerton_B_McLean_LCH_31310","Eremophila margarethae subsp. straight sepals (G. Cockerton & B. McLean LCH 31310)",,,,"P1","Priority 1: Poorly-known species"
"Grevillea sulcata","http://id.biodiversity.org.au/node/apni/2903871","Grevillea sulcata","Proteaceae",,,"P1","Priority 1: Poorly-known species"
"Daviesia pseudaphylla","http://id.biodiversity.org.au/node/apni/2917692","Daviesia pseudaphylla","Fabaceae",,,"CR","Critically endangered"
"Bothriembryon whitleyi","urn:lsid:biodiversity.org.au:afd.taxon:fd5d56de-388e-455e-9ac2-4c6f0449235e","Bothriembryon (Bothriembryon) whitleyi","Placostylidae",,"a bothriembryontid land snail","EX","Presumed extinct"
"Psacadonotus seriatus","urn:lsid:biodiversity.org.au:afd.taxon:b3db9864-4842-4d1f-a296-c1b61638fd08","Psacadonotus seriatus","Tettigoniidae",,"a cricket","P1","Priority 1: Poorly-known species"
"Stylidium sp. Three Springs (J.A. Wege & C. Wilkins JAW 600)","http://id.biodiversity.org.au/node/apni/2918027","Stylidium sp. Three Springs (J.A. Wege & C. Wilkins JAW 600)","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Zyzomys pedunculatus","urn:lsid:biodiversity.org.au:afd.taxon:33ab483d-5bec-45a4-857a-f0a1bbd36bfe","Zyzomys pedunculatus","Muridae",,"central rock-rat, antina","CR","Critically endangered"
"Spyridium spadiceum","http://id.biodiversity.org.au/node/apni/2919324","Spyridium spadiceum","Rhamnaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Synaphea bifurcata","http://id.biodiversity.org.au/node/apni/2916554","Synaphea bifurcata","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Grevillea stenomera","http://id.biodiversity.org.au/node/apni/2889989","Grevillea stenomera","Proteaceae",,,"P2","Priority 2: Poorly-known species"
"Verticordia staminosa subsp. staminosa","http://id.biodiversity.org.au/node/apni/2916999","Verticordia staminosa subsp. staminosa","Myrtaceae",,,"CR","Critically endangered"
"Whiteochloa sp. Hann River (Aplin et al. 917)","http://id.biodiversity.org.au/node/apni/2888393","Whiteochloa sp. Hann River (Aplin et al. 917)","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Cyperus haspan subsp. haspan","http://id.biodiversity.org.au/node/apni/2893313","Cyperus haspan subsp. haspan","Cyperaceae",,,"P1","Priority 1: Poorly-known species"
"Abutilon sp. Hamelin (A.M. Ashby 2196)","http://id.biodiversity.org.au/node/apni/2898729","Abutilon sp. Hamelin (A.M.Ashby 2196)","Malvaceae",,,"P2","Priority 2: Poorly-known species"
"Diocirea acutifolia","http://id.biodiversity.org.au/node/apni/2894894","Diocirea acutifolia","Scrophulariaceae",,,"P3","Priority 3: Poorly-known species"
"Stylidium edentatum","http://id.biodiversity.org.au/node/apni/2913712","Stylidium edentatum","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Chamelaucium sp. Cataby (G.J. Keighery 11009)",,,,,,"VU","Vulnerable"
"Tephrosia valleculata","http://id.biodiversity.org.au/node/apni/2902236","Tephrosia valleculata","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Astartea onycis","http://id.biodiversity.org.au/node/apni/7537101","Astartea onycis","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Baeckea sp. Limestone (N. Gibson & M.N. Lyons 1425)","http://id.biodiversity.org.au/node/apni/2909211","Baeckea sp. Limestone (N.Gibson & M.N.Lyons 1425)","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Stylidium sp. Moora (J.A. Wege 713)","http://id.biodiversity.org.au/node/apni/2901976","Stylidium sp. Moora (J.A. Wege 713)","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Boronia humifusa","http://id.biodiversity.org.au/node/apni/2905094","Boronia humifusa","Rutaceae",,,"P1","Priority 1: Poorly-known species"
