5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date,Data generated,Archive Ingestion Date,Archive ID,Growth condition notes,id,curation_url,in_data_portal,last_modified
102.100.100.25789,Main dataset,Streptococcus pneumoniae,180/15,3,THY broth,1,Genomics,MiSeq,Ramaciotti,Work order 3,2016-04-26,2016-10-11,1,2016-11-30,,"THY broth (recommend using filtered not autoclaved broth as some of the strains don't seem to grow when media has been overheated). If pelleting, serotype 3 forms large loose pellets compared to other pneumococci due to slimy capsule so they may need to be spun longer. Can be difficult to remove all media, therefore PBS wash is sometimes carried out.",54,,1,2017-05-24 08:56:07
102.100.100.25788,Main dataset,Streptococcus pneumoniae,180/2,3,THY broth,1,Genomics,MiSeq,Ramaciotti,Work order 3,2016-04-26,2016-06-07,1,2016-08-18,BRLOPS-847,"THY broth (recommend using filtered not autoclaved broth as some of the strains don't seem to grow when media has been overheated). If pelleting, serotype 3 forms large loose pellets compared to other pneumococci due to slimy capsule so they may need to be spun longer. Can be difficult to remove all media, therefore PBS wash is sometimes carried out.",53,,1,2017-05-24 08:56:07
102.100.100.25787,Main dataset,Streptococcus pneumoniae,4559,14,THY broth,1,Genomics,MiSeq,Ramaciotti,Work order 3,2016-04-26,2016-04-26,1,2016-08-18,BRLOPS-847,THY broth (recommend using filtered not autoclaved broth as some of the strains don't seem to grow when media has been overheated),52,,1,2017-05-24 08:56:07
102.100.100.25786,Main dataset,Streptococcus pneumoniae,947,14,THY broth,1,Genomics,MiSeq,Ramaciotti,Work order 3,2016-04-26,2016-06-07,1,2016-08-18,BRLOPS-847,THY broth (recommend using filtered not autoclaved broth as some of the strains don't seem to grow when media has been overheated),51,,1,2017-05-24 08:56:07
102.100.100.25785,Main dataset,Streptococcus pneumoniae,4496,1,THY broth,1,Genomics,MiSeq,Ramaciotti,Work order 3,2016-04-26,2016-04-26,1,2016-08-18,BRLOPS-847,THY broth (recommend using filtered not autoclaved broth as some of the strains don't seem to grow when media has been overheated),50,,1,2017-05-24 08:56:07
102.100.100.25769,Main dataset,Escherichia coli,MS14387,,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 2,2016-07-20,2016-07-16,1,2016-11-30,,,49,,1,2017-05-24 08:56:07
102.100.100.25768,Main dataset,Escherichia coli,MS14386,,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 2,2016-07-20,2016-07-16,1,2016-11-30,,,48,,1,2017-05-24 08:56:07
102.100.100.25767,Main dataset,Escherichia coli,MS14385,,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 2,2016-07-20,2016-07-16,1,2016-11-30,,,47,,1,2017-05-24 08:56:07
102.100.100.25766,Main dataset,Escherichia coli,MS14384,,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 2,2016-07-20,2016-07-16,1,2016-11-30,,,46,,1,2017-05-24 08:56:07
102.100.100.25765,Main dataset,Escherichia coli,B36,,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 2,2016-07-20,2016-07-16,1,2016-11-30,,,45,,1,2017-05-24 08:56:07
102.100.100.25749,Main dataset,Staphylococcus aureus,BPH2986,,BHI broth,1,Genomics,MiSeq,Ramaciotti,Work order 4,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Horse blood agar for streaking (from glycerol) then overnight in BHI broth,44,,1,2017-05-24 08:56:07
102.100.100.25748,Main dataset,Staphylococcus aureus,BPH2947,,BHI broth,1,Genomics,MiSeq,Ramaciotti,Work order 4,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Horse blood agar for streaking (from glycerol) then overnight in BHI broth,43,,1,2017-05-24 08:56:07
102.100.100.25747,Main dataset,Staphylococcus aureus,BPH2900,,BHI broth,1,Genomics,MiSeq,Ramaciotti,Work order 4,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Horse blood agar for streaking (from glycerol) then overnight in BHI broth,42,,1,2017-05-24 08:56:07
102.100.100.25746,Main dataset,Staphylococcus aureus,BPH2819,,BHI broth,1,Genomics,MiSeq,Ramaciotti,Work order 4,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Horse blood agar for streaking (from glycerol) then overnight in BHI broth,41,,1,2017-05-24 08:56:07
102.100.100.25745,Main dataset,Staphylococcus aureus,BPH2760,,BHI broth,1,Genomics,MiSeq,Ramaciotti,Work order 4,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Horse blood agar for streaking (from glycerol) then overnight in BHI broth,40,,1,2017-05-24 08:56:07
102.100.100.25730,Main dataset,Klebsiella pneumoniae,04153260899A,,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 6,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Luria agar for streaking (from glycerol) then overnight in Luria broth,39,,1,2017-05-24 08:56:07
102.100.100.25729,Main dataset,Klebsiella pneumoniae,03-311-0071,,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 6,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Luria agar for streaking (from glycerol) then overnight in Luria broth,38,,1,2017-05-24 08:56:07
102.100.100.25728,Main dataset,Klebsiella pneumoniae,KPC2,,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 6,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Luria agar for streaking (from glycerol) then overnight in Luria broth,37,,1,2017-05-24 08:56:07
102.100.100.25727,Main dataset,Klebsiella pneumoniae,AJ292,K61,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 6,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Luria agar for streaking (from glycerol) then overnight in Luria broth,36,,1,2017-05-24 08:56:07
102.100.100.25726,Main dataset,Klebsiella pneumoniae,AJ218,K54,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 6,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Luria agar for streaking (from glycerol) then overnight in Luria broth,35,,1,2017-05-24 08:56:07
102.100.100.25725,Main dataset,Klebsiella pneumoniae,AJ055,K0,Luria broth,1,Genomics,MiSeq,Ramaciotti,Work order 6,2016-05-07,2016-05-07,1,2016-08-18,BRLOPS-847,Luria agar for streaking (from glycerol) then overnight in Luria broth,34,,1,2017-05-24 08:56:07
102.100.100.25709,Main dataset,Streptococcus pyogenes,PS006,M28,THY broth,1,Genomics,MiSeq,Ramaciotti,Work order 5 ,2016-01-22,2016-01-20,1,2016-05-25,BRLOPS-805,,32,,1,2017-05-24 08:56:07
102.100.100.25708,Main dataset,Streptococcus pyogenes,PS003,"M77, unusual M type associated with peurperal sepsis",THY broth,1,Genomics,MiSeq,Ramaciotti,Work order 5 ,2016-01-22,2016-01-20,1,2016-05-25,BRLOPS-805,,31,,1,2017-05-24 08:56:07
102.100.100.25707,Main dataset,Streptococcus pyogenes,HKU419,M1T1 clone,THY broth,1,Genomics,MiSeq,Ramaciotti,Work order 5 ,2016-01-22,2016-01-20,1,2016-05-25,BRLOPS-805,,30,,1,2017-05-24 08:56:07
102.100.100.25706,Main dataset,Streptococcus pyogenes,SP444,M4,THY broth,1,Genomics,MiSeq,Ramaciotti,Work order 5 ,2016-01-22,2016-01-20,1,2016-05-25,BRLOPS-805,,29,,1,2017-05-24 08:56:07
102.100.100.25705,Main dataset,Streptococcus pyogenes,5448,M1T1 clone,THY broth,1,Genomics,MiSeq,Ramaciotti,Work order 5 ,2016-01-22,2016-01-20,1,2016-05-25,BRLOPS-805,,28,,1,2017-05-24 08:56:07
