5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date,Data generated,Archive Ingestion Date,Archive ID,id,curation_url,in_data_portal,last_modified
102.100.100.50060,Pilot,Streptococcus pneumoniae,180/15,3,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,155,,0,2017-06-09 08:29:00
102.100.100.50059,Pilot,Streptococcus pneumoniae,180/2,3,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,154,,0,2017-06-09 08:29:00
102.100.100.50058,Pilot,Streptococcus pneumoniae,4559,14,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,153,,0,2017-06-09 08:29:00
102.100.100.50057,Pilot,Streptococcus pneumoniae,947,14,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,152,,0,2017-06-09 08:29:00
102.100.100.50056,Pilot,Streptococcus pneumoniae,4496,1,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,151,,0,2017-06-09 08:29:00
102.100.100.50055,Pilot,Streptococcus pneumoniae,180/15,3,RPMI + galactose,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,150,,0,2017-06-09 08:29:00
102.100.100.50054,Pilot,Streptococcus pneumoniae,180/2,3,RPMI + galactose,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,149,,0,2017-06-09 08:29:00
102.100.100.50053,Pilot,Streptococcus pneumoniae,4559,14,RPMI + galactose,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,148,,0,2017-06-09 08:29:00
102.100.100.50052,Pilot,Streptococcus pneumoniae,947,14,RPMI + galactose,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,147,,0,2017-06-09 08:29:00
102.100.100.50051,Pilot,Streptococcus pneumoniae,4496,1,RPMI + galactose,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,146,,0,2017-06-09 08:29:00
102.100.100.50050,Pilot,Streptococcus pneumoniae,180/15,3,RPMI + glucose,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,145,,0,2017-06-09 08:29:00
102.100.100.50049,Pilot,Streptococcus pneumoniae,180/2,3,RPMI + glucose,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,144,,0,2017-06-09 08:29:00
102.100.100.50048,Pilot,Streptococcus pneumoniae,4559,14,RPMI + glucose,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,143,,0,2017-06-09 08:29:00
102.100.100.50047,Pilot,Streptococcus pneumoniae,947,14,RPMI + glucose,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,142,,0,2017-06-09 08:29:00
102.100.100.50046,Pilot,Streptococcus pneumoniae,4496,1,RPMI + glucose,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-09,0,,,141,,0,2017-06-09 08:29:00
102.100.100.26024,Pilot,Eshcherichia coli,MS14387,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-08,0,,,140,,0,2017-06-09 06:02:44
102.100.100.26023,Pilot,Eshcherichia coli,MS14386,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-08,0,,,139,,0,2017-06-09 06:02:44
102.100.100.26022,Pilot,Eshcherichia coli,MS14385,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-08,0,,,138,,0,2017-06-09 06:02:44
102.100.100.26021,Pilot,Eshcherichia coli,MS14384,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-08,0,,,137,,0,2017-06-09 06:02:44
102.100.100.26020,Pilot,Eshcherichia coli,B36,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-09,2017-06-08,0,,,136,,0,2017-06-09 06:02:44
102.100.100.26011,Pilot,Klebsiella pneumoniae,04153260899A,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-01,2017-06-01,0,,,135,,0,2017-06-09 06:02:44
102.100.100.26010,Pilot,Klebsiella pneumoniae,03-311-0071,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-01,2017-06-01,0,,,134,,0,2017-06-09 06:02:44
102.100.100.26009,Pilot,Klebsiella pneumoniae,AJ292,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-01,2017-06-01,0,,,133,,0,2017-06-09 06:02:44
102.100.100.26008,Pilot,Klebsiella pneumoniae,AJ055,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-06-01,2017-06-01,0,,,132,,0,2017-06-09 06:02:44
102.100.100.25989,Pilot,Staphylococcus aureus,BPH2819,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-05-26,2017-05-26,0,,,131,,0,2017-06-09 06:02:44
102.100.100.25988,Pilot,Staphylococcus aureus,BPH2947,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-05-26,2017-05-26,0,,,130,,0,2017-06-09 06:02:44
102.100.100.25987,Pilot,Staphylococcus aureus,BPH2986,,Pooled sera,1,Metabolomics,LC-MS,MA,,2017-05-26,2017-05-26,0,,,129,,0,2017-06-09 06:02:44
102.100.100.26007,Pilot,Klebsiella pneumoniae,KPC2,,Pooled sera,4,Metabolomics,LC-MS,MA,,2017-04-13,2017-04-13,0,,,122,,0,2017-06-09 06:02:44
102.100.100.26006,Pilot,Klebsiella pneumoniae,KPC2,,Pooled sera,3,Metabolomics,LC-MS,MA,,2017-04-13,2017-04-13,0,,,121,,0,2017-06-09 06:02:44
102.100.100.26005,Pilot,Klebsiella pneumoniae,KPC2,,Pooled sera,2,Metabolomics,LC-MS,MA,,2017-04-13,2017-04-13,0,,,120,,0,2017-06-09 06:02:44
