5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date,Data generated,Archive Ingestion Date,Archive ID,id,curation_url,in_data_portal,last_modified
102.100.100.50625,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,6,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,198,,0,2017-08-25 03:10:12
102.100.100.50624,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,5,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,197,,0,2017-08-25 03:10:12
102.100.100.50623,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,4,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,196,,0,2017-08-25 03:10:12
102.100.100.50622,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,3,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,195,,0,2017-08-25 03:10:12
102.100.100.50621,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,2,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,194,,0,2017-08-25 03:10:12
102.100.100.50634,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,1,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,193,,0,2017-08-25 03:10:12
102.100.100.50619,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,6,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,192,,0,2017-08-25 03:10:12
102.100.100.50618,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,5,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,191,,0,2017-08-25 03:10:11
102.100.100.50617,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,4,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,190,,0,2017-08-25 03:10:11
102.100.100.50616,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,3,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,189,,0,2017-08-25 03:10:11
102.100.100.50615,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,2,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,188,,0,2017-08-25 03:10:11
102.100.100.50614,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,1,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,187,,0,2017-08-25 03:10:11
102.100.100.50613,Main dataset,Staphylococcus aureus,BPH2947,,Pooled sera,6,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,186,,0,2017-08-25 03:10:11
102.100.100.50612,Main dataset,Staphylococcus aureus,BPH2947,,Pooled sera,5,Proteomics,MS1 quantification,MBPF,,2017-07-31,2017-07-31,0,,,185,,0,2017-08-25 03:10:11
