5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date,Data generated,Archive Ingestion Date,Archive ID,id,curation_url,in_data_portal,last_modified
102.100.100.25980,Pilot,Klebsiella pneumoniae,AJ218,,Pooled sera,6,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,81,,0,2017-03-30 09:44:28
102.100.100.25979,Pilot,Klebsiella pneumoniae,AJ218,,Pooled sera,5,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,80,,0,2017-03-30 09:44:28
102.100.100.25978,Pilot,Klebsiella pneumoniae,AJ218,,Pooled sera,4,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,79,,0,2017-03-30 09:44:28
102.100.100.25977,Pilot,Klebsiella pneumoniae,AJ218,,Pooled sera,3,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,78,,0,2017-03-30 09:44:28
102.100.100.25976,Pilot,Klebsiella pneumoniae,AJ218,,Pooled sera,2,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,77,,0,2017-03-30 09:44:28
102.100.100.25975,Pilot,Klebsiella pneumoniae,AJ218,,Pooled sera,1,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,76,,0,2017-03-30 09:44:28
102.100.100.25974,Pilot,Klebsiella pneumoniae,AJ218,,RPMI,6,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,75,,0,2017-03-30 09:44:28
102.100.100.25973,Pilot,Klebsiella pneumoniae,AJ218,,RPMI,5,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,74,,0,2017-03-30 09:44:28
102.100.100.25972,Pilot,Klebsiella pneumoniae,AJ218,,RPMI,4,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,73,,0,2017-03-30 09:44:28
102.100.100.25971,Pilot,Klebsiella pneumoniae,AJ218,,RPMI,3,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,72,,0,2017-03-30 09:44:28
102.100.100.25970,Pilot,Klebsiella pneumoniae,AJ218,,RPMI,2,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,71,,0,2017-03-30 09:44:28
102.100.100.25969,Pilot,Klebsiella pneumoniae,AJ218,,RPMI,1,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,70,,0,2017-03-30 09:44:28
102.100.100.25968,Pilot,Klebsiella pneumoniae,KPC2,,Pooled sera,6,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,69,,0,2017-03-30 09:44:28
102.100.100.25967,Pilot,Klebsiella pneumoniae,KPC2,,Pooled sera,5,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,68,,0,2017-03-30 09:44:28
102.100.100.25966,Pilot,Klebsiella pneumoniae,KPC2,,Pooled sera,4,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,67,,0,2017-03-30 09:44:28
102.100.100.25965,Pilot,Klebsiella pneumoniae,KPC2,,Pooled sera,3,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,66,,0,2017-03-30 09:44:28
102.100.100.25964,Pilot,Klebsiella pneumoniae,KPC2,,Pooled sera,2,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,65,,0,2017-03-30 09:44:27
102.100.100.25963,Pilot,Klebsiella pneumoniae,KPC2,,Pooled sera,1,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,64,,0,2017-03-30 09:44:27
102.100.100.25962,Pilot,Klebsiella pneumoniae,KPC2,,RPMI,6,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,63,,0,2017-03-30 09:44:27
102.100.100.25961,Pilot,Klebsiella pneumoniae,KPC2,,RPMI,5,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,62,,0,2017-03-30 09:44:27
102.100.100.25960,Pilot,Klebsiella pneumoniae,KPC2,,RPMI,4,Proteomics,SWATH-MS,APAF,,2017-03-22,2017-03-22,0,,,61,,0,2017-03-30 09:44:27
