5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date,Data generated,Archive Ingestion Date,Archive ID,id,curation_url,in_data_portal,last_modified
102.100.100.50565,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,6,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,60,,0,2017-10-17 04:37:58
102.100.100.50564,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,5,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,59,,0,2017-10-17 04:37:58
102.100.100.50563,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,4,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,58,,0,2017-10-17 04:37:58
102.100.100.50562,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,3,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,57,,0,2017-10-17 04:37:57
102.100.100.50561,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,2,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,56,,0,2017-10-17 04:37:57
102.100.100.50631,Main dataset,Staphylococcus aureus,BPH2986,,Pooled sera,1,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,55,,0,2017-10-17 04:37:57
102.100.100.50559,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,6,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,54,,0,2017-10-17 04:37:57
102.100.100.50558,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,5,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,53,,0,2017-10-17 04:37:57
102.100.100.50557,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,4,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,52,,0,2017-10-17 04:37:57
102.100.100.50556,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,3,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,51,,0,2017-10-17 04:37:57
102.100.100.50555,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,2,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,50,,0,2017-10-17 04:37:57
102.100.100.50554,Main dataset,Staphylococcus aureus,BPH2986,,RPMI,1,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,49,,0,2017-10-17 04:37:57
102.100.100.50553,Main dataset,Staphylococcus aureus,BPH2947,,Pooled sera,6,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,48,,0,2017-10-17 04:37:57
102.100.100.50552,Main dataset,Staphylococcus aureus,BPH2947,,Pooled sera,5,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,47,,0,2017-10-17 04:37:57
102.100.100.50551,Main dataset,Staphylococcus aureus,BPH2947,,Pooled sera,4,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,46,,0,2017-10-17 04:37:57
102.100.100.50550,Main dataset,Staphylococcus aureus,BPH2947,,Pooled sera,3,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,45,,0,2017-10-17 04:37:57
102.100.100.50549,Main dataset,Staphylococcus aureus,BPH2947,,Pooled sera,2,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,44,,0,2017-10-17 04:37:57
102.100.100.50630,Main dataset,Staphylococcus aureus,BPH2947,,Pooled sera,1,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,43,,0,2017-10-17 04:37:57
102.100.100.50547,Main dataset,Staphylococcus aureus,BPH2947,,RPMI,6,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,42,,0,2017-10-17 04:37:57
102.100.100.50546,Main dataset,Staphylococcus aureus,BPH2947,,RPMI,5,Metabolomics,GC-MS,MA,,2017-07-31,2017-07-31,0,,,41,,0,2017-10-17 04:37:57
