5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date,Data generated,Archive Ingestion Date,Archive ID,id,curation_url,in_data_portal,last_modified
102.100.100.51664,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,6,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,495,,0,2018-08-22 02:23:32
102.100.100.51663,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,5,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,494,,0,2018-08-22 02:23:32
102.100.100.51662,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,4,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,493,,0,2018-08-22 02:23:32
102.100.100.51661,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,3,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,492,,0,2018-08-22 02:23:32
102.100.100.51660,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,2,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,491,,0,2018-08-22 02:23:32
102.100.100.51659,Main dataset,Klebsiella pneumoniae,04153260899A,,Pooled sera,1,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,490,,0,2018-08-22 02:23:32
102.100.100.51658,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,6,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,489,,0,2018-08-22 02:23:32
102.100.100.51657,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,5,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,488,,0,2018-08-22 02:23:32
102.100.100.51656,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,4,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,487,,0,2018-08-22 02:23:32
102.100.100.51655,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,3,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,486,,0,2018-08-22 02:23:32
102.100.100.51654,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,2,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,485,,0,2018-08-22 02:23:32
102.100.100.51653,Main dataset,Klebsiella pneumoniae,04153260899A,,RPMI,1,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,484,,0,2018-08-22 02:23:32
102.100.100.51652,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,6,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,483,,0,2018-08-22 02:23:32
102.100.100.51651,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,5,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,482,,0,2018-08-22 02:23:32
102.100.100.51650,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,4,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,481,,0,2018-08-22 02:23:32
102.100.100.51649,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,3,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,480,,0,2018-08-22 02:23:32
102.100.100.51648,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,2,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,479,,0,2018-08-22 02:23:32
102.100.100.51647,Main dataset,Klebsiella pneumoniae,03-311-0071,,Pooled sera,1,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,478,,0,2018-08-22 02:23:32
102.100.100.51646,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,6,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,477,,0,2018-08-22 02:23:32
102.100.100.51645,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,5,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,476,,0,2018-08-22 02:23:32
102.100.100.51644,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,4,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,475,,0,2018-08-22 02:23:32
102.100.100.51643,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,3,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,474,,0,2018-08-22 02:23:32
102.100.100.51642,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,2,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,473,,0,2018-08-22 02:23:32
102.100.100.51641,Main dataset,Klebsiella pneumoniae,03-311-0071,,RPMI,1,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,472,,0,2018-08-22 02:23:32
102.100.100.51640,Main dataset,Klebsiella pneumoniae,KPC2,ethics embargo,Pooled sera,6,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,471,,0,2018-08-22 02:23:32
102.100.100.51639,Main dataset,Klebsiella pneumoniae,KPC2,ethics embargo,Pooled sera,5,Proteomics,MS1 quantification,MBPF,,2018-08-17,2018-08-21,0,,,470,,0,2018-08-22 02:23:32
