5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date,Data generated,Archive Ingestion Date,Archive ID,id,curation_url,in_data_portal,last_modified
102.100.100.51032,Main dataset,Escherichia coli,MS14387,,Pooled sera,6,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,316,,0,2017-11-14 08:05:15
102.100.100.51031,Main dataset,Escherichia coli,MS14387,,Pooled sera,5,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,315,,0,2017-11-14 08:05:15
102.100.100.51030,Main dataset,Escherichia coli,MS14387,,Pooled sera,4,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,314,,0,2017-11-14 08:05:15
102.100.100.51029,Main dataset,Escherichia coli,MS14387,,Pooled sera,3,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,313,,0,2017-11-14 08:05:15
102.100.100.51028,Main dataset,Escherichia coli,MS14387,,Pooled sera,2,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,312,,0,2017-11-14 08:05:15
102.100.100.51027,Main dataset,Escherichia coli,MS14387,,Pooled sera,1,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,311,,0,2017-11-14 08:05:15
102.100.100.51026,Main dataset,Escherichia coli,MS14387,,RPMI,6,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,310,,0,2017-11-14 08:05:15
102.100.100.51025,Main dataset,Escherichia coli,MS14387,,RPMI,5,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,309,,0,2017-11-14 08:05:15
102.100.100.51024,Main dataset,Escherichia coli,MS14387,,RPMI,4,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,308,,0,2017-11-14 08:05:15
102.100.100.51023,Main dataset,Escherichia coli,MS14387,,RPMI,3,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,307,,0,2017-11-14 08:05:15
102.100.100.51022,Main dataset,Escherichia coli,MS14387,,RPMI,2,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,306,,0,2017-11-14 08:05:15
102.100.100.51021,Main dataset,Escherichia coli,MS14387,,RPMI,1,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,305,,0,2017-11-14 08:05:15
102.100.100.51020,Main dataset,Escherichia coli,MS14386,,Pooled sera,6,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,304,,0,2017-11-14 08:05:15
102.100.100.51019,Main dataset,Escherichia coli,MS14386,,Pooled sera,5,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,303,,0,2017-11-14 08:05:15
102.100.100.51018,Main dataset,Escherichia coli,MS14386,,Pooled sera,4,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,302,,0,2017-11-14 08:05:15
102.100.100.51017,Main dataset,Escherichia coli,MS14386,,Pooled sera,3,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,301,,0,2017-11-14 08:05:15
102.100.100.51016,Main dataset,Escherichia coli,MS14386,,Pooled sera,2,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,300,,0,2017-11-14 08:05:15
102.100.100.51015,Main dataset,Escherichia coli,MS14386,,Pooled sera,1,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,299,,0,2017-11-14 08:05:15
102.100.100.51014,Main dataset,Escherichia coli,MS14386,,RPMI,6,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,298,,0,2017-11-14 08:05:15
102.100.100.51013,Main dataset,Escherichia coli,MS14386,,RPMI,5,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,297,,0,2017-11-14 08:05:15
102.100.100.51012,Main dataset,Escherichia coli,MS14386,,RPMI,4,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,296,,0,2017-11-14 08:05:15
102.100.100.51011,Main dataset,Escherichia coli,MS14386,,RPMI,3,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,295,,0,2017-11-14 08:05:15
102.100.100.51010,Main dataset,Escherichia coli,MS14386,,RPMI,2,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,294,,0,2017-11-14 08:05:15
102.100.100.51009,Main dataset,Escherichia coli,MS14386,,RPMI,1,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,293,,0,2017-11-14 08:05:15
102.100.100.51008,Main dataset,Escherichia coli,MS14385,,Pooled sera,6,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,292,,0,2017-11-14 08:05:15
102.100.100.51007,Main dataset,Escherichia coli,MS14385,,Pooled sera,5,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,291,,0,2017-11-14 08:05:15
102.100.100.51006,Main dataset,Escherichia coli,MS14385,,Pooled sera,4,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,290,,0,2017-11-14 08:05:15
102.100.100.51005,Main dataset,Escherichia coli,MS14385,,Pooled sera,3,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,289,,0,2017-11-14 08:05:15
102.100.100.51004,Main dataset,Escherichia coli,MS14385,,Pooled sera,2,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,288,,0,2017-11-14 08:05:15
102.100.100.51003,Main dataset,Escherichia coli,MS14385,,Pooled sera,1,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,287,,0,2017-11-14 08:05:15
102.100.100.51002,Main dataset,Escherichia coli,MS14385,,RPMI,6,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,286,,0,2017-11-14 08:05:15
102.100.100.51001,Main dataset,Escherichia coli,MS14385,,RPMI,5,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,285,,0,2017-11-14 08:05:15
102.100.100.51000,Main dataset,Escherichia coli,MS14385,,RPMI,4,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,284,,0,2017-11-14 08:05:15
102.100.100.50999,Main dataset,Escherichia coli,MS14385,,RPMI,3,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,283,,0,2017-11-14 08:05:15
102.100.100.50998,Main dataset,Escherichia coli,MS14385,,RPMI,2,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,282,,0,2017-11-14 08:05:15
102.100.100.50997,Main dataset,Escherichia coli,MS14385,,RPMI,1,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,281,,0,2017-11-14 08:05:15
102.100.100.50996,Main dataset,Escherichia coli,MS14384,,Pooled sera,6,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,280,,0,2017-11-14 08:05:15
102.100.100.50995,Main dataset,Escherichia coli,MS14384,,Pooled sera,5,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,279,,0,2017-11-14 08:05:15
102.100.100.50994,Main dataset,Escherichia coli,MS14384,,Pooled sera,4,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,278,,0,2017-11-14 08:05:15
102.100.100.50993,Main dataset,Escherichia coli,MS14384,,Pooled sera,3,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,277,,0,2017-11-14 08:05:15
102.100.100.50992,Main dataset,Escherichia coli,MS14384,,Pooled sera,2,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,276,,0,2017-11-14 08:05:15
102.100.100.50991,Main dataset,Escherichia coli,MS14384,,Pooled sera,1,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,275,,0,2017-11-14 08:05:15
102.100.100.50990,Main dataset,Escherichia coli,MS14384,,RPMI,6,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,274,,0,2017-11-14 08:05:15
102.100.100.50989,Main dataset,Escherichia coli,MS14384,,RPMI,5,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,273,,0,2017-11-14 08:05:15
102.100.100.50988,Main dataset,Escherichia coli,MS14384,,RPMI,4,Proteomics,SWATH-MS,APAF,,2017-11-14,2017-11-13,0,,,272,,0,2017-11-14 08:05:15
