5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date,Data generated,Archive Ingestion Date,Archive ID,id,curation_url,in_data_portal,last_modified
102.100.100.51181,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,6,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,60,,0,2018-04-09 04:46:03
102.100.100.51180,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,5,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,59,,0,2018-04-09 04:46:03
102.100.100.51179,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,4,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,58,,0,2018-04-09 04:46:03
102.100.100.51178,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,3,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,57,,0,2018-04-09 04:46:03
102.100.100.51177,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,2,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,56,,0,2018-04-09 04:46:03
102.100.100.51176,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,1,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-03-13,0,,,55,,0,2018-04-09 04:46:03
102.100.100.51175,Main dataset,Streptococcus pyogenes,PS006,M28,RPMI_modified,6,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,54,,0,2018-04-09 04:46:03
102.100.100.51174,Main dataset,Streptococcus pyogenes,PS006,M28,RPMI_modified,5,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,53,,0,2018-04-09 04:46:03
102.100.100.51173,Main dataset,Streptococcus pyogenes,PS006,M28,RPMI_modified,4,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,52,,0,2018-04-09 04:46:03
102.100.100.51172,Main dataset,Streptococcus pyogenes,PS006,M28,RPMI_modified,3,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,51,,0,2018-04-09 04:46:03
102.100.100.51171,Main dataset,Streptococcus pyogenes,PS006,M28,RPMI_modified,2,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,50,,0,2018-04-09 04:46:03
102.100.100.51170,Main dataset,Streptococcus pyogenes,PS006,M28,RPMI_modified,1,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-03-13,0,,,49,,0,2018-04-09 04:46:03
102.100.100.51169,Main dataset,Streptococcus pyogenes,PS003,"M77, unusual M type associated with peurperal sepsis",Pooled sera,6,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,48,,0,2018-04-09 04:46:03
102.100.100.51168,Main dataset,Streptococcus pyogenes,PS003,"M77, unusual M type associated with peurperal sepsis",Pooled sera,5,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,47,,0,2018-04-09 04:46:03
102.100.100.51167,Main dataset,Streptococcus pyogenes,PS003,"M77, unusual M type associated with peurperal sepsis",Pooled sera,4,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,46,,0,2018-04-09 04:46:03
