5 digit BPA ID,Data type,Taxon_OR_organism,Strain_OR_isolate,Serovar,Growth Media,Replicate,Omics,Analytical platform,Facility,Work order #,Contextual Data Submission Date,Sample submission date,Data generated,Archive Ingestion Date,Archive ID,id,curation_url,in_data_portal,last_modified
102.100.100.51181,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,6,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,326,,0,2018-05-09 07:18:17
102.100.100.51180,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,5,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,325,,0,2018-05-09 07:18:17
102.100.100.51179,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,4,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,324,,0,2018-05-09 07:18:17
102.100.100.51178,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,3,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,323,,0,2018-05-09 07:18:17
102.100.100.51177,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,2,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,322,,0,2018-05-09 07:18:17
102.100.100.51176,Main dataset,Streptococcus pyogenes,PS006,M28,Pooled sera,1,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-03-13,0,,,321,,0,2018-05-09 07:18:17
102.100.100.51175,Main dataset,Streptococcus pyogenes,PS006,M28,RPMI_modified,6,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,320,,0,2018-05-09 07:18:17
102.100.100.51174,Main dataset,Streptococcus pyogenes,PS006,M28,RPMI_modified,5,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,319,,0,2018-05-09 07:18:17
102.100.100.51173,Main dataset,Streptococcus pyogenes,PS006,M28,RPMI_modified,4,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,318,,0,2018-05-09 07:18:17
102.100.100.51172,Main dataset,Streptococcus pyogenes,PS006,M28,RPMI_modified,3,Transcriptomics,HiSeq,AGRF,,2018-04-05,2018-04-05,0,,,317,,0,2018-05-09 07:18:17
