IPM Omics ,,,,,,,,,,,,,
Contact atouffu@bioplatforms.com and mlum@bioplatforms.com if you need assistance filling this sheet.,,,,,,,,,,,,,
Facility to fill,Facility to fill,Facility to fill (Leave empty if data is for >1 sample ID),Facility to fill (Leave empty if data is for >1 library ID),Facility to fill,Project Manager to fill,Facility to fill,Facility to fill,Facility to fill,Data team to fill,Project Manager to fill,Data team to fill,Project Manager to fill,
,,,,,,,,,,,,,
Facility,Date of transfer,bioplatforms_sample_id,bioplatforms_library_id,bioplatforms_dataset_id,scientific_name,Data type,Description,Folder name,Date of transfer to archive,Date data published,CCG JIRA Ticket,Download,Note
BRF,6/6/26,676738,668783,665238,Pareledone turqueti,Illumina short read HiC,Illumina short read HiC,20260605_AVID_BRF_WO31004_23JG5LLT3,08/06/2026,,BPAOPS-2107,,
AGRF,2/7/26,677056,702636,665347,,PacBio-HiFi,PacBio-HiFi,20260702_AVID_AGRF_CAGRF26050436_m84073_260626_035957_s1,02/07/2026,,BPAOPS-2129,,
AGRF,06/07/2026,,,665244,,illumina short-read,illumina short-read,20260706_AVID_AGRF_CAGRF26040175_1_23MVYYLT3,06/07/2026,,BPAOPS-2131,,
AGRF,06/07/2026,,,665240,,illumina short-read,illumina short-read,20260706_AVID_AGRF_CAGRF26040069_1_23MVYYLT3,06/07/2026,,BPAOPS-2132,,
AGRF,7/7/2026,,,665350,,illumina short-read,illumina short-read,20260707_AVID_AGRF_CAGRF26050436_23MN5HLT3,08/07/2026,,BPAOPS-2133,,
AGRF,10/10/2026,,,665244,,illumina short-read,illumina short-read,20260710_AVID_AGRF_CAGRF26040175_2_23MTGVLT3,10/07/2026,,BPAOPS-2140,,
AGRF,10/10/2026,,,665240,,illumina short-read,illumina short-read,20260710_AVID_AGRF_CAGRF26040069_2_23MTGVLT3,10/07/2026,,BPAOPS-2139,,
BRF,1/8/26,677066,669080,665354,Ochrogaster lunifer,Illumina short read HiC,Illumina short read HiC,20260801_AVID_BRF_WO31020_SC2233836-SC3,03/08/2026,,BPAOPS-2174,,
AToL,11/08/2026,,,,,Draft Genome Assembly,Draft Genome Assembly,20260811_AVID_AToL_756291,11/08/2026,,BPAOPS-2180,,
BRF,13/08/2026,677466,669463,665381,Aulactinia veratra,Illumina short read HiC,Illumina short read HiC,20260813_AVID_BRF_WO31019_SC2248721-SC3,13/08/2026,,BPAOPS-2182,,
AGRF,19/8/26,676734,668779,665236,,PacBio-HiFi,PacBio-HiFi,20260817_AVID_AGRF_CAGRF26040069_m84073_260601_035615_s4,25/8/2026,,BPAOPS-2183,,
AGRF,19/8/26,676734,668779,665236,,PacBio-HiFi,PacBio-HiFi,20260817_AVID_AGRF_CAGRF26040069_m84073_260708_083233_s3,25/8/2026,,BPAOPS-2184,,
AGRF,19/8/26,676734,668779,665236,,PacBio-HiFi,PacBio-HiFi,20260817_AVID_AGRF_CAGRF26040069_m84073_260714_071431_s1,25/8/2026,,BPAOPS-2185,,
AGRF,19/8/26,676734,668779,665236,,PacBio-HiFi,PacBio-HiFi,20260817_AVID_AGRF_CAGRF26040069_m84073_260813_070932_s1,25/8/2026,,BPAOPS-2186,,
AGRF,19/8/26,676734,668779,665236,,PacBio-HiFi,PacBio-HiFi,20260817_AVID_AGRF_CAGRF26040069_m84073_260813_074149_s2,25/8/2026,,BPAOPS-2187,,
