Project: CIPPS,,,,,,,,,
Contact smazard@bioplatforms.com if you need assistance filling this sheet.,,,,,,,,,
Facility to fill,Facility to fill,Facility to fill (Leave empty if data is for >1 species),Facility to fill (Leave empty if data is for >1 species),Facility to fill,"Project Manager to fill, data control related",Data team to fill,Data team to fill,,
,,,,,,,,,
Facility,Date of transfer,Data type,Description,Folder name,,Date of transfer to archive,File Count,CCG JIRA Ticket,Download
Ramaciotti,18/4/2023,illumina-transcriptomics,Illumina short read,20230406_CIPPS_UNSW_H3MCVDSX7,data control sheet updated,19/04/2023,,BPAOPS-1381,Replaced with renamed files in BPAOPS-1492
UNSW,9/10/2023,illumina-transcriptomics,Illumina short read,20230929_CIPPS_UNSW_22C5YVLT3,https://trello.com/c/O8gsGKsQ,9/10/2023,,BPAOPS-1489,
Ramaciotti,18/4/2023,illumina-transcriptomics,Illumina short read,20230406_CIPPS_UNSW_H3MCVDSX7,data control sheet updated,19/04/2023,,BPAOPS-1492,
AGRF,18/12/2023,PacBio-HiFi,HiFi,20231218_CIPPS_AGRF_CAGRF23101336_m84073_231129_043559_s4,https://trello.com/c/TLIPGszS,19/12/2023,,BPAOPS-1535,
AGRF,18/12/2023,PacBio-HiFi,HiFi,20231218_CIPPS_AGRF_CAGRF23101336_m84073_231212_081819_s2,https://trello.com/c/TLIPGszS,19/12/2023,,BPAOPS-1536,
AGRF,18/12/2023,PacBio-HiFi,HiFi,20231218_CIPPS_AGRF_CAGRF23101336_m84073_231212_101727_s3,https://trello.com/c/TLIPGszS,19/12/2023,,BPAOPS-1537,
AGRF,4/6/2024,PacBio-HiFi,HiFi,20240603_CIPPS_AGRF_CAGRF24040033_m84073_240503_110849_s4,,05/06/2024,,BPAOPS-1594,
AGRF,4/6/2024,PacBio-HiFi,HiFi,20240603_CIPPS_AGRF_CAGRF23101329_m84073_240507_074735_s2,,05/06/2024,,BPAOPS-1595,
UNSW,15/07/2024,illumina-transcriptomics,Illumina short read,20240708_CIPPS_UNSW_22KTT3LT3,,18/07/2024,,BPAOPS-1616,??Withdrawn - replaced by BPAOPS-1659
UNSW,23/08/2024,illumina-transcriptomics,Illumina short read,20240708_CIPPS_UNSW_22KTT3LT3,,03/09/2024,,BPAOPS-1659,
Ramaciotti,16/07/2025,illumina-transcriptomics,Illumina short read,20250709_CIPPS_UNSW_225FMNLT1,,17/07/2025,,BPAOPS-1831,
