Forest Resilience,,,,,,,,,,,,
Contact mlum@bioplatforms.com if you need assistance filling this sheet.,,,,,,,,,,,,
Facility to fill,Facility to fill,Facility to fill (Leave empty if data is for >1 sample ID),Facility to fill (Leave empty if data is for >1 library ID),Facility to fill,Project Manager to fill,Facility to fill,Facility to fill,Data team to fill,Project Manager to fill,Data team to fill,Project Manager to fill,
,,,,,,,,,,,,
Facility,Date of transfer,bioplatforms_sample_id,bioplatforms_library_id,bioplatforms_dataset_id,scientific_name,Description,Folder name,Date of transfer to archive,Date data published,CCG JIRA Ticket,Download,Note
BRF,27/03/2025,642999,645249,647499,Toona ciliata,PacBio-HiFi,20250322_FOR_BRF_m84118_250322_010010_s1,01/04/2025,08/04/2025,BPAOPS-1766,https://data.bioplatforms.com/dataset/?ext_search_by=&q=ticket%3ABPAOPS-1766,
BRF,27/03/2025,643266,645516,647503,Neolitsea dealbata,PacBio-HiFi,20250322_FOR_BRF_m84118_250322_010010_s2,01/04/2025,08/04/2025,BPAOPS-1767,https://data.bioplatforms.com/dataset/?ext_search_by=&q=ticket%3ABPAOPS-1767,
BRF,27/03/2025,643000,645250,647500,Brachychiton acerifolius,PacBio-HiFi,20250322_FOR_BRF_m84118_250322_030318_s3,01/04/2025,08/04/2025,BPAOPS-1768,https://data.bioplatforms.com/dataset/?ext_search_by=&q=ticket%3ABPAOPS-1768,
BRF,16/05/2025,,,647501,Toona ciliata,Illumina-Shortread,20250514_FOR_647501_22KYV5LT4,21/05/2025,28/05/2025,BPAOPS-1777,https://data.bioplatforms.com/dataset/?ext_search_by=&q=ticket%3ABPAOPS-1777,
BRF,16/05/2025,,,647502,Brachychiton acerifolius,Illumina-Shortread,20250514_FOR_647502_22KYV5LT4,22/05/2025,28/05/2025,BPAOPS-1783,https://data.bioplatforms.com/dataset/?ext_search_by=&q=ticket%3ABPAOPS-1783,
BRF,16/12/2025,643348,645598,647506,Nothofagus moorei,PacBio-HiFi,20251212_FOR_BRF_m84118_251212_020558_s1,22/12/2025,23/12/2025,BPAOPS-1965,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1965,
BRF,16/12/2025,643349,645599,647507,Planchonella australis,PacBio-HiFi,20251212_FOR_BRF_m84118_251212_040855_s2,22/12/2025,23/12/2025,BPAOPS-1966,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1966,
BRF,09/02/2026,,,647509,Nothofagus moorei,Illumina Shortread,20260209-WO28011-237VWVLT3,10/02/2026,12/02/2026,BPAOPS-1997,https://data.bioplatforms.com/dataset/?ext_search_by=&q=ticket%3ABPAOPS-1997,
AGRF,11/2/26,,,647511,Planchonella australis,Illumina Shortread,20260211_FOR_AGRF_CAGRF25100311_23LGHGLT4,12/02/2026,13/02/2026,BPAOPS-1999,https://data.bioplatforms.com/dataset/?ext_search_by=&q=ticket%3ABPAOPS-1999,
AGRF,27/02/2026,,,647512,Neolitsea dealbata,Illumina Shortread,20260227_FOR_AGRF_CAGRF25100312_23LGKYLT4,04/03/2026,,BPAOPS-2028,,
ML note: Everything up to this point has been added to the Aus_Genome_status - Bioplatforms Google sheet,,,,,,,,,,,,
