Project: Australian Grasslands Initiative (AG),,,,,,,,,,,,,
Contact mlum@bioplatforms.com if you need assistance filling this sheet.,,,,,,,,,,,,,
Facility to fill,Facility to fill,Facility to fill (Leave empty if data is for >1 species),Facility to fill (Leave empty if data is for >1 species),Facility to fill,Project Manager to fill (Leave empty if data is for >1 species),Project Manager to fill,Project Manager to fill,Facility to fill,Facility to fill,Data team to fill,Project Manager to fill,Data team to fill,Data team to fill
,,,,,,,,,,,,,
Facility,Date of transfer,bioplatforms_sample_id,bioplatforms_library_id,bioplatforms_dataset_id,scientific_name,project_aim,data_type,Description,Folder name,Date of transfer to archive,Date data published,CCG JIRA Ticket,Download
BRF,10/11/2023,369564,371565,373565,Themeda triandra,Reference genome,Main dataset,Hi-C,20231109_AG_BRF_HMMYTDRX3,14/11/2023,04/01/2024,BPAOPS-1514,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1514
BRF,20/12/2023,369564,371564,373564,Themeda triandra,Reference genome,Main dataset,PacBio-HiFi,20231208_AG_BRF_m84118_231208_115614_s4,22/12/2023,04/01/2024,BPAOPS-1547,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1547
AGRF,26/06/2024,,,373573,Themeda triandra,Reference genome,Main dataset,PacBio-IsoSeq,20240620_AG_AGRF_CAGRF24020350_m84073_240615_195929_s4,27/06/2024,28/06/2024,BPAOPS-1603,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1603
RAMAC,02/02/2024,,,373569,Themeda triandra,Transcriptomics-RNASeq (ILMN total RNA (TruSeq)),Main dataset,Illumina Short Read,20240129_AG_UNSW_22HYWKLT3,06/02/2024,13/02/2024,BPAOPS-1555,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1555
AGRF,28/10/2024,,,373572,Themeda triandra,Genotyping,Main dataset,Illumina ddRAD-seq,20241023_AG_AGRF_22NTCKLT3,29/10/2024,31/10/2024,BPAOPS-1711,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1711
AGRF,13/12/2024,,,373574,Themeda triandra,Themeda resequencing - flow cell 1,Main dataset,Illumina short read,20241213_AG_AGRF_CAGRF24050423_2_22VGHWLT3,16/12/2024,16/12/2024,BPAOPS-1731,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1731
AGRF,13/12/2024,,,373575,Themeda triandra,Themeda resequencing - flow cell 2,Main dataset,Illumina short read,20241213_AG_AGRF_CAGRF24050423_2_22VGHFLT3,16/12/2024,16/12/2024,BPAOPS-1732,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1732
BRF,19/12/2025,370196,372343,373587,,,,PromethION,20251209_AG_BRF_PBE83773,19/12/2025,,BPAOPS-1975,
BRF,19/12/2025,370196,372377,373590,,,,PromethION,20251210_AG_BRF_PBE83773,19/12/2025,,BPAOPS-1976,
BRF,19/12/2025,370196,372378,373591,,,,PromethION,20251210_AG_BRF_PBE70026,19/12/2025,,BPAOPS-1977,
