Project: Animal Disease (AD),,Slug is used in the URLs on the portal,
Codes for Project Tracking,,,
,,,
Slug,Short Description,Long Description,
ad-prj001,AD001_Qfever,Coxiella burnetii,Q fever
ad-prj006,AD006_Moraxella,Moraxella spp.,
ad-prj007,AD007_Vibro,"Vibrio tasmaniensis, Vibrio pomeroyi, Vibrio atlanticus",
ad-prj012,AD012_Trypanosoma,Trypanosoma spp.,Trypanosomes
ad-prj013,AD013_Worm,Teladorsagia circumcincta,Brown stomach worm
ad-prj022,AD022_QX,Marteilia sydneyi (taxid 98371),QX disease
ad-prj024,AD024_Apis,"Apis mellifera (Western Honey bee), Varroa destructor (honey bee mite)",Emily Remnant
ad-prj025,AD025_Sugarbag,Tetragonula carbonaria (Australian Sugarbag bee),Emily Remnant
ad-prj026,AD026_Tick,"Australian tick species from the understudied subgenus Sternalixodes: Ixodes cornuatus, I. myrmecobii (the numbat tick), I. confusus, I. hirsti, and I. trichosuri (the brushtail possum tick).",Rhys Parry
ad-prj032,AD032_Lizard,Dragon lizard,Julien Melade
ad-prj034,AD034_Koala,Phascolarctos cinereus/Koala,Kosuke Takada
ad-prj035,AD035_Marsupial,marsupial (multiple),Alistair Legione
ad-prj036,AD036_Ayda,Northern Hairy-nosed Wombat (Lasiorhinus krefftii); Shark Bay bandicoot (Perameles bougainville),Ayda Susana Ortiz Baez
ad-prj037,AD037_Subir_1,"Macropus giganteus (Eastern grey kangaroo), Anas platyrhynchos (Wild ducks), Canis lupus familiaris (Domestic dogs)",Subir Sarker
ad-prj038,AD038_Subir_2,"Phascolarctos cinereus (Koala), Macropus giganteus (Eastern Grey Kangaroo), Trichosurus vulpecula (Common Brushtail Possum), Trichoglossus moluccanus (Rainbow Lorikeet), Spilopelia chinensis (Eastern Spotted Dove), Podargus strigoides (Tawny Frogmouth), Corvus orru (Torresian Crow)",Subir Sarker
ad-prj041,AD041_App,Actinobacillus pleuropneumoniae,Lida Omaleki
ad-prj042,AD042_Avi,Avibacterium paragallinarum,Sean Bisset
ad-prj045,AD045_Kleb,Klebsiella pneumoniae,Ruth Zadoks
ad-prj046,AD046_Mycob,Mycobacterium ulcerans,Alyssa Barry
ad-prj047,AD047_Pasteu,Pasteurella multocida,Lida Omaleki
ad-prj048,AD048_Crypt,Cryptococcus gattii species complex,Luisa Miranda
ad-prj049,AD049_Nanni,Nannizziopsis sp.,Mariana Williams
ad-prj050,AD050_Bcribbi,Brachylaima cribbi,Dan Huston
ad-prj051,AD051_Cparvum,Cryptosporidium parvum,Marielle Babineau
ad-prj053,AD053_Nema,Nematodirus filicollis,Erwin Pazmunoz
ad-prj055,AD055_Strong,Strongyloides stercoralis,Patsy A. Zendejas Heredia
ad-prj056,AD056_Cirritans,Cryptocaryon irritans,Kelly Condon
ad-prj057,AD057_Eechidnae,Eimeria echidnae,Michelle Power
ad-prj058,AD058_Ncaninum,Neospora caninum,Michelle Power
ad-prj059,AD059_Arbov,"Arboviruses (focusing on orthobunyaviruses, orthoflaviviruses and alphaviruses)",Wilson Nguyen
ad-prj060,AD060_Oysterhv,Oyster herpesvirus OsHV-1,Francisca Samsing
ad-prj091,AD091_Haema,Haemaphysalis humerosa,Swaid Abdullah
ad-prj063,AD063_Whale,Whale Sharks (Rhincodon typus),Elizabeth Dinsdale
ad-prj064,AD064_Koala,Koala (Phascolarctos cinereus),Elizabeth Dinsdale
ad-prj065,AD065_Wildpig,Wild pig (Sus scrofa),Jessica Agius
ad-prj067,AD067_Seabird,"Seabird species from the Norfolk Island–Phillip Island system: Little Shearwater (Puffinus assimilis), Providence Petrel (Pterodroma solandri), Wedge-tailed Shearwater (Ardenna pacifica), Grey Ternlet (Anous albivitta), Common Noddy (Anous stolidus), Masked Booby (Sula dactylatra), Flesh-footed Shearwater (Ardenna carneipes), White-necked Petrel (Pterodroma cervicalis), Kermadec Petrel (Pterodroma neglecta), Red-tailed Tropicbird (Phaethon rubricauda), Sooty Tern (Onychoprion fuscatus), Black-winged Petrel (Pterodroma nigripennis), and Black Noddy (Anous minutus).",Jane Younger
ad-prj068,AD068_Subantartic,"Sub-Antarctic seabird - Snowy sheathbill (Chionis albus), southern giant petrel (Macronectes giganteus), and brown skua / Antarctic skua complex (Stercorarius antarcticus / Stercorarius lonnbergi), gentoo penguin (Pygoscelis papua), king penguin (Aptenodytes patagonicus), macaroni penguin (Eudyptes chrysolophus)",Jane Younger
ad-prj069,AD069_Penguin,Gentoo Penguins (Pygoscelis papua),Michelle Wille
ad-prj070,AD070_Bird,"Magpie Goose (Anseranas semipalmata), Plumed Whistling Duck (Dendrocygna eytoni), Radjah Shelduck (Radjah radjah)",Michelle Wille
ad-prj074,AD074_Abalone,"Abalone, Haliotis laevigata, Haliotis rubra",Travis Beddoe
ad-prj075,AD075_Cherax,Cherax quadricarinatus,Jennifer Elliman
ad-prj076,AD076_Echinoderms,"Echinoderms - Sea stars, sea urchins, sea cucumbers",Kate Van Brussel
ad-prj077,AD077_Corals,Scleractinian corals,Mary Petrone
ad-prj078,AD078_Ascidians,Ascidians (subplyhum: Tunicata),Miguel Perea
ad-prj079,AD079_Bee_fly,Amegilla cingulata (blue-banded bees) and Eristalis tenax (hoverflies),Sabrina Haque
ad-prj082,AD082_Microbat,Microbat,Verlaine Timms
